group	day	date	mouse_id	ear_mark	Empty tube weight	Tube with sample
NT	0	6/7/19	nt_4_0	N	0.9845	0.9952
NT	0	6/7/19	nt_4_R	1R	0.9883	1.0042
F	0	6/7/19	f_4_0	N	0.9812	0.9981
F	0	6/7/19	f_4_R	1R	0.9736	0.992
M	0	6/7/19	m_4_0	N	0.9704	0.9795
M	0	6/7/19	m_4_R	1R	0.9866	1.0268
L	0	6/7/19	l_4_0	N	0.9848	1.0002
L	0	6/7/19	l_4_R	1R	0.9836	0.9923
NT	1	6/8/19	nt_4_0	N	0.986	0.9948
NT	1	6/8/19	nt_4_R	1R	0.9903	1.0081
F	1	6/8/19	f_4_0	N	0.988	1.0019
F	1	6/8/19	f_4_R	1R	0.9824	1.003
M	1	6/8/19	m_4_0	N	0.9784	0.9882
M	1	6/8/19	m_4_R	1R	0.9838	1.0106
L	1	6/8/19	l_4_0	N	0.9876	1.0225
L	1	6/8/19	l_4_R	1R	0.9752	NA
NT	2	6/9/19	nt_4_0	N	0.9786	0.9979
NT	2	6/9/19	nt_4_R	1R	0.9821	1.0069
F	2	6/9/19	f_4_0	N	0.9826	1.0135
F	2	6/9/19	f_4_R	1R	0.9823	1.028
M	2	6/9/19	m_4_0	N	0.9826	1.0063
M	2	6/9/19	m_4_R	1R	0.9865	1.0239
L	2	6/9/19	l_4_0	N	0.9881	1.0109
L	2	6/9/19	l_4_R	1R	0.9816	1.0117
NT	3	6/10/19	nt_4_0	N	0.9851	1.0161
NT	3	6/10/19	nt_4_R	1R	0.9815	1.0046
F	3	6/10/19	f_4_0	N	0.983	0.9971
F	3	6/10/19	f_4_R	1R	0.9761	1.0231
M	3	6/10/19	m_4_0	N	0.9862	1.0197
M	3	6/10/19	m_4_R	1R	0.9901	1.021
L	3	6/10/19	l_4_0	N	0.9854	1.0052
L	3	6/10/19	l_4_R	1R	0.984	0.9987
NT	4	6/11/19	nt_4_0	N	0.9889	1.0141
NT	4	6/11/19	nt_4_R	1R	0.9825	1.0059
F	4	6/11/19	f_4_0	N	0.9861	1.01
F	4	6/11/19	f_4_R	1R	0.9916	1.0151
M	4	6/11/19	m_4_0	N	0.9855	1.0171
M	4	6/11/19	m_4_R	1R	0.9865	1.0088
L	4	6/11/19	l_4_0	N	0.9935	1.0079
L	4	6/11/19	l_4_R	1R	0.9814	1.0168
NT	5	6/12/19	nt_4_0	N	0.9937	1.0151
NT	5	6/12/19	nt_4_R	1R	0.9815	0.9967
F	5	6/12/19	f_4_0	N	0.9809	1.0327
F	5	6/12/19	f_4_R	1R	0.9862	1.0426
M	5	6/12/19	m_4_0	N	0.9821	1.004
M	5	6/12/19	m_4_R	1R	0.9932	1.0089
L	5	6/12/19	l_4_0	N	0.9885	1.0101
L	5	6/12/19	l_4_R	1R	0.9887	1.0124
NTod	0	6/7/19	ntod_4_1	N	0.9935	1.004
NTod	0	6/7/19	ntod_4_2	N	0.9815	0.9949
NTod	1	6/8/19	ntod_4_1	N	0.993	1.0086
NTod	1	6/8/19	ntod_4_2	N	0.983	0.998
NTod	2	6/9/19	ntod_4_1	N	0.9865	1.0061
NTod	2	6/9/19	ntod_4_2	N	0.9792	1.0089
NTod	3	6/10/19	ntod_4_1	N	0.9955	1.0108
NTod	3	6/10/19	ntod_4_2	N	0.9867	1.0125
NTod	4	6/11/19	ntod_4_1	N	0.9815	1.0048
NTod	4	6/11/19	ntod_4_2	N	0.9865	1.0101
NTod	5	6/12/19	ntod_4_1	N	0.9822	0.9976
NTod	5	6/12/19	ntod_4_2	N	0.9831	1.0018
