day	date	mouse_id	Empty tube weight	Tube with sample
8	8/22/19	-5_8_R	0.989	1.0269
8	8/22/19	-6_8_0	0.9776	1.0113
8	8/22/19	-6_8_L	NA	NA
8	8/22/19	-6_8_R	0.9811	1.0281
9	8/23/19	NT_8_0	0.9848	1.0192
9	8/23/19	NT_8_LR	0.9718	0.9924
9	8/23/19	F_8_L	0.991	1.0191
9	8/23/19	F_8_R	0.9902	1.0138
9	8/23/19	M_8_0	0.9749	1.0009
9	8/23/19	M_8_LR	0.9637	0.9753
9	8/23/19	L_8_L	0.9833	1.0024
9	8/23/19	L_8_R	0.9799	1.0068
9	8/23/19	-4_8_0	0.9822	1.0144
9	8/23/19	-4_8_LR	0.9865	1.0179
9	8/23/19	-5_8_L	0.9732	0.9985
9	8/23/19	-5_8_R	0.9821	1.0131
9	8/23/19	-6_8_0	0.9792	0.9937
9	8/23/19	-6_8_L	NA	NA
9	8/23/19	-6_8_R	0.9881	1.0007
10	8/24/19	NT_8_0	0.9861	1.0354
10	8/24/19	NT_8_LR	0.9697	1.001
10	8/24/19	F_8_L	0.9807	1.0128
10	8/24/19	F_8_R	0.9791	1.0206
10	8/24/19	M_8_0	0.9788	1.0027
10	8/24/19	M_8_LR	0.9785	1.001
10	8/24/19	L_8_L	0.9865	1.0325
10	8/24/19	L_8_R	0.9866	1.0178
10	8/24/19	-4_8_0	0.9873	1.0249
10	8/24/19	-4_8_LR	0.9904	1.0171
10	8/24/19	-5_8_L	0.9794	1.0191
10	8/24/19	-5_8_R	0.9821	1.0013
10	8/24/19	-6_8_0	0.9813	0.9951
10	8/24/19	-6_8_L	NA	NA
10	8/24/19	-6_8_R	0.9795	1.0157
15	8/29/19	NT_8_0	0.9855	1.0088
15	8/29/19	NT_8_LR	0.9898	1.012
15	8/29/19	F_8_L	0.9853	1.0045
15	8/29/19	F_8_R	0.9882	1.0103
15	8/29/19	M_8_0	0.9902	1.0111
15	8/29/19	M_8_LR	0.9822	1.0232
15	8/29/19	L_8_L	0.9804	0.996
15	8/29/19	L_8_R	0.9746	1.0208
15	8/29/19	-4_8_0	0.9855	1.0064
15	8/29/19	-4_8_LR	0.9802	1.0185
15	8/29/19	-5_8_L	0.9864	1.0138
15	8/29/19	-5_8_R	0.9836	1.0107
15	8/29/19	-6_8_0	0.9756	1.0053
15	8/29/19	-6_8_L	NA	NA
15	8/29/19	-6_8_R	0.976	0.9859
21	9/4/19	NT_8_0	0.9744	1.0187
21	9/4/19	NT_8_LR	0.9804	1.0241
21	9/4/19	F_8_L	0.9777	0.9978
21	9/4/19	F_8_R	0.9831	1.0199
21	9/4/19	M_8_0	0.9778	1.0026
21	9/4/19	M_8_LR	0.9887	1.006
21	9/4/19	L_8_L	0.9884	1.0197
21	9/4/19	L_8_R	0.9863	1.0219
21	9/4/19	-4_8_0	0.985	0.9981
21	9/4/19	-4_8_LR	0.9833	1.0196
21	9/4/19	-5_8_L	0.9707	1.0212
21	9/4/19	-5_8_R	0.9882	1.0168
21	9/4/19	-6_8_0	0.9875	1.006
21	9/4/19	-6_8_L	NA	NA
21	9/4/19	-6_8_R	0.9748	1.0243
