day	date	mouse_id	Empty tube weight	Tube with sample
0	8/14/19	NT_8_0	0.9901	1.0136
0	8/14/19	NT_8_LR	0.9877	1.0034
0	8/14/19	F_8_L	0.9814	0.9996
0	8/14/19	F_8_R	0.9872	1.013
0	8/14/19	M_8_0	0.9737	0.9999
0	8/14/19	M_8_LR	0.9744	0.985
0	8/14/19	L_8_L	0.9707	0.9842
0	8/14/19	L_8_R	0.9862	0.9984
0	8/14/19	-4_8_0	0.9816	0.9963
0	8/14/19	-4_8_LR	0.9821	1.0031
0	8/14/19	-5_8_L	0.9921	0.9975
0	8/14/19	-5_8_R	0.9753	0.9866
0	8/14/19	-6_8_0	0.9872	1.0113
0	8/14/19	-6_8_L	0.9861	0.9948
0	8/14/19	-6_8_R	0.9826	1.0274
1	8/15/19	NT_8_0	0.9825	1.0227
1	8/15/19	NT_8_LR	0.9731	0.9949
1	8/15/19	F_8_L	0.9842	1.0139
1	8/15/19	F_8_R	0.9715	1.0159
1	8/15/19	M_8_0	0.9798	1.0177
1	8/15/19	M_8_LR	0.9632	0.9909
1	8/15/19	L_8_L	0.9822	1.0098
1	8/15/19	L_8_R	0.9867	1.0311
1	8/15/19	-4_8_0	0.9832	1.0104
1	8/15/19	-4_8_LR	0.9706	1.0032
1	8/15/19	-5_8_L	0.9803	1.0173
1	8/15/19	-5_8_R	0.9767	1.0072
1	8/15/19	-6_8_0	0.9904	1.0083
1	8/15/19	-6_8_L	0.9815	0.9869
1	8/15/19	-6_8_R	0.9844	1.0288
2	8/16/19	NT_8_0	0.9899	1.0191
2	8/16/19	NT_8_LR	0.9849	1.0234
2	8/16/19	F_8_L	0.9801	1.0342
2	8/16/19	F_8_R	0.9698	0.9988
2	8/16/19	M_8_0	0.9802	1.0113
2	8/16/19	M_8_LR	0.9698	0.9972
2	8/16/19	L_8_L	0.9676	0.9991
2	8/16/19	L_8_R	0.9745	1.0111
2	8/16/19	-4_8_0	0.9785	1.0093
2	8/16/19	-4_8_LR	0.9654	1.0043
2	8/16/19	-5_8_L	0.974	0.997
2	8/16/19	-5_8_R	0.9838	0.9975
2	8/16/19	-6_8_0	0.9661	0.9831
2	8/16/19	-6_8_L	0.966	0.9745
2	8/16/19	-6_8_R	0.9845	1.0039
3	8/17/19	NT_8_0	0.9719	1.0074
3	8/17/19	NT_8_LR	0.968	0.983
3	8/17/19	F_8_L	0.9651	1.0033
3	8/17/19	F_8_R	0.9609	1.0084
3	8/17/19	M_8_0	0.9731	1.0191
3	8/17/19	M_8_LR	0.973	1.0101
3	8/17/19	L_8_L	0.9763	1.0205
3	8/17/19	L_8_R	0.9675	1.0054
3	8/17/19	-4_8_0	0.9721	0.9953
3	8/17/19	-4_8_LR	0.9762	0.9989
3	8/17/19	-5_8_L	0.9823	1.0125
3	8/17/19	-5_8_R	0.9824	1.0026
3	8/17/19	-6_8_0	0.977	1.0156
3	8/17/19	-6_8_L	0.9834	NA
3	8/17/19	-6_8_R	0.9251	1.0122
4	8/18/19	NT_8_0	0.9791	1.0141
4	8/18/19	NT_8_LR	0.9812	1.0411
4	8/18/19	F_8_L	0.9793	1.0259
4	8/18/19	F_8_R	0.9708	1.0122
4	8/18/19	M_8_0	0.9795	1.0168
4	8/18/19	M_8_LR	0.9775	1.0205
4	8/18/19	L_8_L	0.9745	1.0336
4	8/18/19	L_8_R	0.9651	1.0166
4	8/18/19	-4_8_0	0.9724	1.0261
4	8/18/19	-4_8_LR	0.9727	1.0018
4	8/18/19	-5_8_L	0.9834	1.0051
4	8/18/19	-5_8_R	0.9891	1.0009
4	8/18/19	-6_8_0	0.98	0.999
4	8/18/19	-6_8_L	0.983	NA
4	8/18/19	-6_8_R	0.9946	1.0328
5	8/19/19	NT_8_0	0.9784	1.0201
5	8/19/19	NT_8_LR	0.9684	1.0043
5	8/19/19	F_8_L	0.9834	0.9971
5	8/19/19	F_8_R	0.9783	1.018
5	8/19/19	M_8_0	0.983	0.9987
5	8/19/19	M_8_LR	0.9786	0.9886
5	8/19/19	L_8_L	0.9738	1.0102
5	8/19/19	L_8_R	0.9843	1.0237
5	8/19/19	-4_8_0	0.9784	1.0036
5	8/19/19	-4_8_LR	0.9809	1.02
5	8/19/19	-5_8_L	0.9832	1.0106
5	8/19/19	-5_8_R	0.9882	1.009
5	8/19/19	-6_8_0	0.978	1.0291
5	8/19/19	-6_8_L	0.9869	NA
5	8/19/19	-6_8_R	0.9906	1.0084
6	8/20/19	NT_8_0	0.9933	1.0216
6	8/20/19	NT_8_LR	0.9706	1.0116
6	8/20/19	F_8_L	0.9818	1.0126
6	8/20/19	F_8_R	0.9762	1.013
6	8/20/19	M_8_0	0.9698	1.0151
6	8/20/19	M_8_LR	0.9806	1.0049
6	8/20/19	L_8_L	0.9895	1
6	8/20/19	L_8_R	0.9822	1.0201
6	8/20/19	-4_8_0	0.9835	1.0059
6	8/20/19	-4_8_LR	0.9844	1.0169
6	8/20/19	-5_8_L	0.9803	1.0069
6	8/20/19	-5_8_R	0.9764	0.9958
6	8/20/19	-6_8_0	0.976	0.9876
6	8/20/19	-6_8_L	NA	NA
6	8/20/19	-6_8_R	0.9885	1.0118
7	8/21/19	NT_8_0	0.9834	1.0206
7	8/21/19	NT_8_LR	0.9742	1.0158
7	8/21/19	F_8_L	0.9755	1.0061
7	8/21/19	F_8_R	0.9888	1.0054
7	8/21/19	M_8_0	0.9866	1.006
7	8/21/19	M_8_LR	0.9805	1.0246
7	8/21/19	L_8_L	0.9916	1.0067
7	8/21/19	L_8_R	0.9829	1.0175
7	8/21/19	-4_8_0	0.9716	0.9956
7	8/21/19	-4_8_LR	0.9915	1.0217
7	8/21/19	-5_8_L	0.9735	1.0029
7	8/21/19	-5_8_R	0.9842	1.016
7	8/21/19	-6_8_0	0.9843	1.0075
7	8/21/19	-6_8_L	NA	NA
7	8/21/19	-6_8_R	0.9803	1.019
8	8/22/19	NT_8_0	0.9804	1.0291
8	8/22/19	NT_8_LR	0.9831	1.0125
8	8/22/19	F_8_L	0.9778	1.0372
8	8/22/19	F_8_R	0.9831	1.0096
8	8/22/19	M_8_0	0.9867	1.0368
8	8/22/19	M_8_LR	0.9831	1.0071
8	8/22/19	L_8_L	0.9784	1
8	8/22/19	L_8_R	0.9718	0.9926
8	8/22/19	-4_8_0	0.9636	0.993
8	8/22/19	-4_8_LR	0.9831	1.0086
8	8/22/19	-5_8_L	0.9796	1.0022
